发起人姓名,参与人姓名,活动主题,活动场地,活动时间
Charlie,Nina,Agent CLI Deep Dive,Virtual Discord,2025-09-24 10:45
Charlie,Kevin,Tauri for Desktop Apps,Library Room 3,2025-10-17 20:30
Charlie,Nina,Creative Coding Jam,Virtual Discord,2025-10-02 18:15
George,Judy,Crypto in Argentina,Community Hall,2025-10-09 17:15
George,Ivan,Co-Learning Kickoff,Cafe,2025-10-19 18:15
Ethan,Mike,Creative Coding Jam,Virtual Discord,2025-10-19 13:00
Fiona,Paula,Tauri for Desktop Apps,Cafe,2025-10-18 12:15
Hannah,Judy,Crypto in Argentina,Community Hall,2025-09-26 16:45
Charlie,Mike,Tauri for Desktop Apps,Cafe,2025-09-29 11:15
Hannah,Mike,DIY Hardware Wallet,Cafe,2025-10-19 14:00
Bob,Kevin,Agent CLI Deep Dive,Community Hall,2025-10-08 10:00
Ethan,Mike,Creative Coding Jam,Virtual Discord,2025-10-01 18:45
Diana,Judy,Global Hackathon Trends,Makerspace A1,2025-10-03 19:30
George,Oscar,Crypto in Argentina,Online Zoom Room,2025-10-02 13:45
Fiona,Judy,Co-Learning Kickoff,Cafe,2025-10-19 11:00
Ethan,Judy,Crypto in Argentina,Online Zoom Room,2025-10-17 14:45
Hannah,Ivan,DIY Hardware Wallet,Cafe,2025-10-06 12:15
Diana,Laura,DIY Hardware Wallet,Virtual Discord,2025-10-20 10:15
Ethan,Ivan,Web3 and Society,Online Zoom Room,2025-10-08 13:15
Ethan,Paula,DIY Hardware Wallet,Community Hall,2025-10-16 17:45
Ethan,Judy,Agent CLI Deep Dive,Makerspace A1,2025-09-23 19:15
Fiona,Kevin,Web3 and Society,Online Zoom Room,2025-09-29 09:45
Diana,Kevin,Holacracy in Startups,Virtual Discord,2025-10-14 19:30
Ethan,Paula,Co-Learning Kickoff,Cafe,2025-10-17 18:15
Ethan,Ivan,Global Hackathon Trends,Library Room 3,2025-10-17 13:15
Fiona,Oscar,Holacracy in Startups,Online Zoom Room,2025-10-12 19:00
Hannah,Nina,Holacracy in Startups,Cafe,2025-10-11 20:00
Ethan,Judy,Intro to Blockchain,Community Hall,2025-10-01 12:30
Diana,Quinn,Agent CLI Deep Dive,Cafe,2025-09-25 16:30
Diana,Ivan,Agent CLI Deep Dive,Library Room 3,2025-10-17 11:00
Alice,Paula,Agent CLI Deep Dive,Online Zoom Room,2025-10-17 10:00
Diana,Mike,Creative Coding Jam,Makerspace A1,2025-10-16 09:00
Charlie,Nina,Web3 and Society,Cafe,2025-09-26 15:45
Diana,Mike,Co-Learning Kickoff,Online Zoom Room,2025-09-29 18:30
Fiona,Kevin,Intro to Blockchain,Cafe,2025-10-21 12:00
Alice,Rita,Global Hackathon Trends,Online Zoom Room,2025-10-18 16:15
Hannah,Paula,Intro to Blockchain,Online Zoom Room,2025-09-27 16:30
Diana,Judy,Tauri for Desktop Apps,Makerspace A1,2025-10-19 10:15
Ethan,Oscar,Intro to Blockchain,Makerspace A1,2025-10-08 14:00
Alice,Rita,Intro to Blockchain,Online Zoom Room,2025-10-05 16:30
Alice,Nina,DIY Hardware Wallet,Library Room 3,2025-09-24 19:45
Diana,Nina,Global Hackathon Trends,Library Room 3,2025-09-27 15:45
Ethan,Nina,Creative Coding Jam,Online Zoom Room,2025-10-05 14:15
Ethan,Nina,Co-Learning Kickoff,Library Room 3,2025-10-09 20:00
Hannah,Kevin,Crypto in Argentina,Online Zoom Room,2025-10-13 11:30
Diana,Oscar,Intro to Blockchain,Community Hall,2025-10-21 10:00
Bob,Ivan,Co-Learning Kickoff,Virtual Discord,2025-09-30 16:45
Fiona,Oscar,Holacracy in Startups,Online Zoom Room,2025-10-16 20:30
Fiona,Rita,Intro to Blockchain,Library Room 3,2025-10-07 19:30
Hannah,Laura,Intro to Blockchain,Virtual Discord,2025-09-27 16:45
Nina,Shirlene,Vibe Coding Jam,Cafe,2025-10-22 14:30
Shirlene,Michelle,Community Creative,Creator Space,2025-10-23 18:00
Xx,Yy,Tech for Good,Main Hall,2025-10-26 09:00
